sample_id,family,brake,visibility,latency,origin,source_id
S-nominal-0,nominal,3.295796174951829,100.33927242737263,0.25885939088184384,synthetic,built-in-2027
S-nominal-1,nominal,3.09430386783788,96.9970671646297,0.33086057258769874,synthetic,built-in-2027
S-nominal-2,nominal,3.235329529386945,102.90153768844903,0.4689481809968129,synthetic,built-in-2027
S-nominal-3,nominal,3.182053106161766,109.84003600198776,0.31936842706054447,synthetic,built-in-2027
S-nominal-4,nominal,3.0142846326460133,103.22812899947166,0.46432914012111726,synthetic,built-in-2027
S-nominal-5,nominal,3.191001974057872,109.110695309937,0.3350785412825644,synthetic,built-in-2027
S-nominal-6,nominal,3.167731425992679,94.84964101575315,0.23097018240951003,synthetic,built-in-2027
S-nominal-7,nominal,3.1635039856657388,100.50501845311373,0.3945347622269765,synthetic,built-in-2027
S-dust-0,dust,2.9964229483506646,45.83883090689778,1.025649123918265,synthetic,built-in-2027
S-dust-1,dust,2.9966944989166224,48.84965765569359,0.8235237123444676,synthetic,built-in-2027
S-dust-2,dust,3.2072160698240624,50.277811794541776,0.9995132707990706,synthetic,built-in-2027
S-dust-3,dust,3.0549199580331337,50.26731713488698,1.0931802603416145,synthetic,built-in-2027
S-dust-4,dust,3.1635209011030385,56.701660722494125,1.272288603009656,synthetic,built-in-2027
S-dust-5,dust,3.2690476502408274,46.57735694479197,1.187970007630065,synthetic,built-in-2027
S-dust-6,dust,2.999857187701855,55.34303961135447,1.334672797145322,synthetic,built-in-2027
S-dust-7,dust,3.1987485975492747,46.759043576195836,0.8637020659632981,synthetic,built-in-2027
S-wet-0,wet,2.28782858006889,98.36373687721789,0.23300014678388836,synthetic,built-in-2027
S-wet-1,wet,2.0653665042016653,93.12961663585156,0.30427862557116897,synthetic,built-in-2027
S-wet-2,wet,2.158351545094047,99.77120955940336,0.2583141516428441,synthetic,built-in-2027
S-wet-3,wet,2.1691634326009077,93.72274278663099,0.2150301594985649,synthetic,built-in-2027
S-wet-4,wet,2.1675859383190983,90.14793334994465,0.3795154122402892,synthetic,built-in-2027
S-wet-5,wet,1.9703438271651976,102.28625465650111,0.3516431385651231,synthetic,built-in-2027
S-wet-6,wet,2.2291277937008998,107.40923923440278,0.2451052316930145,synthetic,built-in-2027
S-wet-7,wet,2.073832416010555,97.2484389366582,0.28941349498927593,synthetic,built-in-2027
S-combined-0,combined,2.056615492119454,50.29210616182536,1.067036080081016,synthetic,built-in-2027
S-combined-1,combined,2.207276392681524,53.16629986092448,0.8741837723646313,synthetic,built-in-2027
S-combined-2,combined,2.1152749979752117,56.74047387484461,0.990663330256939,synthetic,built-in-2027
S-combined-3,combined,2.127220530342311,49.49502429738641,0.9456125253345817,synthetic,built-in-2027
S-combined-4,combined,2.1979098558076657,42.28323061298579,1.2674595111515372,synthetic,built-in-2027
S-combined-5,combined,2.121524279832374,51.34486416168511,1.2722292541060596,synthetic,built-in-2027
S-combined-6,combined,2.112999808951281,59.32648639474064,0.9922787268180401,synthetic,built-in-2027
S-combined-7,combined,2.028326169704087,54.92574964929372,1.2967294629197568,synthetic,built-in-2027
